,Team Name,Team Description,Roll Type,Difficulty,Rank,Units,Carousel Priority
10,Steroid Duelists,This is a full Duelist comp that uses Vayne and Twisted Fate as your main Duelist carries while Nilah will be your core frontliner with multiple Lockets of Iron Solaris.,default,medium,a,"['vayne', 'twisted fate', 'nilah', 'annie', 'fiora', 'yasuo', 'gangplank', 'kayle']","['needlessly large rod', 'chain vest', 'tear of the goddess', 'bf sword', 'giants belt']"
11,Deathbringers,"This comp brings the Monsters out of Set 8 - Monsters Attack! You'll play almost only Threat champions which have all increased stats by nature.
",default,medium,a,"['aatrox', 'aurelion sol', 'fiddlesticks', 'mordekaiser', 'urgot', ""bel'veth"", 'morgana', 'rammus']","['chain vest', 'needlessly large rod', 'recurve bow', 'bf sword', 'tear of the goddess']"
12,Hacker Draven,"This is a full Mecha PRIME comp that uses the Hacker trait and Draven as the main carry and Mecha PRIME.
",slow roll,easy,a,"['draven', 'shen', 'leona', 'garen', 'jax', 'leblanc', 'pyke', 'wukong']","['bf sword', 'sparring gloves', 'recurve bow', 'negatron cloak', 'needlessly large rod']"
13,Mecha Guardian,"This is a full AP comp that focuses on Spellslinger and Star Guardians with Neeko as your main carry & Mecha PRIME Garen as core frontliner.
",default,medium,a,"['neeko', 'garen', 'leona', 'syndra', 'ekko', 'jax', 'rell', 'lux']","['bf sword', 'tear of the goddess', 'needlessly large rod', 'chain vest', 'giants belt']"
14,Warweek,"This is a full ADMIN comp with Warwick as your main carry & his Brawler companions as backup.
",default,medium,a,"['warwick', 'ekko', 'leblanc', 'riven', 'shen', 'camille', 'vi', 'blitzcrank']","['recurve bow', 'chain vest', 'bf sword', 'negatron cloak', 'sparring gloves']"
15,King Slayer,This comp is focused all around the 1 cost Renegade Sylas! You'll give him tons of HP with as many Warmog's Armors because his ability scales with it and deals more damage this way!,slow roll,easy,a,"['sylas', 'jhin', 'miss fortune', 'ekko', 'viego', 'alistar', 'nasus']","['giants belt', 'chain vest', 'negatron cloak', 'tear of the goddess', 'bf sword']"
16,Mascot Vex,"This is a slow roll comp with Vex as main carry and Riftwalkers as well as Mascots to provide her more sustain!
",slow roll,easy,a,"['vex', 'garen', 'jhin', 'nunu', 'zac', 'alistar', 'shen', 'pyke']","['tear of the goddess', 'needlessly large rod', 'sparring gloves', 'bf sword', 'recurve bow']"
17,Powder-Jinx,"This is a level 6 slow roll comp with the Animas Jinx & Riven as your core 3 star carries!
",slow roll,easy,b,"['jinx', 'ekko', 'miss fortune', 'riven', 'garen', 'gnar', 'vi']","['bf sword', 'needlessly large rod', 'tear of the goddess', 'sparring gloves', 'chain vest']"
18,Phantom Pyke,"This is a slow roll comp with Pyke as main carry and Riftwalkers, Hacker as well as Supers to provide him more Damage as your backup!
",slow roll,easy,b,"['pyke', 'jhin', 'lee sin', 'zac', 'shen', 'vex', 'malphite', 'gangplank']","['bf sword', 'needlessly large rod', 'sparring gloves', 'recurve bow', 'chain vest']"
19,Gadget-Gnar,This is a Gadgeteen comp that uses the new 3-cost Gnar as your main carry!,slow roll,medium,s,"['gnar', 'leblanc', 'annie', 'viego', 'shen', 'pyke', 'lulu', 'poppy']","['bf sword', 'negatron cloak', 'recurve bow', 'chain vest', 'sparring gloves']"
